,base,snap,calc,ex_en,osc
261,/home/share/wesolowski/NR_CGE_HUJI,511,5_Angstroms/emb1,3.16186,2.458284
262,/home/share/wesolowski/NR_CGE_HUJI,512,5_Angstroms/emb1,3.291265,2.640323
263,/home/share/wesolowski/NR_CGE_HUJI,513,5_Angstroms/emb1,3.238374,2.508921
264,/home/share/wesolowski/NR_CGE_HUJI,514,5_Angstroms/emb1,3.358661,2.583549
265,/home/share/wesolowski/NR_CGE_HUJI,515,5_Angstroms/emb1,3.441462,2.563382
266,/home/share/wesolowski/NR_CGE_HUJI,516,5_Angstroms/emb1,3.268443,2.641938
267,/home/share/wesolowski/NR_CGE_HUJI,517,5_Angstroms/emb1,3.688984,2.553359
268,/home/share/wesolowski/NR_CGE_HUJI,518,5_Angstroms/emb1,3.635656,2.613087
269,/home/share/wesolowski/NR_CGE_HUJI,519,5_Angstroms/emb1,3.424788,2.516295
270,/home/share/wesolowski/NR_CGE_HUJI,520,5_Angstroms/emb1,3.075889,2.627127
271,/home/share/wesolowski/NR_CGE_HUJI,521,5_Angstroms/emb1,3.550841,2.493102
272,/home/share/wesolowski/NR_CGE_HUJI,522,5_Angstroms/emb1,3.694802,2.582314
273,/home/share/wesolowski/NR_CGE_HUJI,523,5_Angstroms/emb1,3.173429,2.596065
274,/home/share/wesolowski/NR_CGE_HUJI,524,5_Angstroms/emb1,3.12217,2.521231
275,/home/share/wesolowski/NR_CGE_HUJI,525,5_Angstroms/emb1,3.16714,2.526744
276,/home/share/wesolowski/NR_CGE_HUJI,526,5_Angstroms/emb1,3.73362,2.600467
277,/home/share/wesolowski/NR_CGE_HUJI,527,5_Angstroms/emb1,3.355832,2.346556
278,/home/share/wesolowski/NR_CGE_HUJI,528,5_Angstroms/emb1,3.278437,2.555733
279,/home/share/wesolowski/NR_CGE_HUJI,529,5_Angstroms/emb1,3.468308,2.429141
280,/home/share/wesolowski/NR_CGE_HUJI,530,5_Angstroms/emb1,3.079897,2.54204
281,/home/share/wesolowski/NR_CGE_HUJI,531,5_Angstroms/emb1,3.405722,2.545484
282,/home/share/wesolowski/NR_CGE_HUJI,532,5_Angstroms/emb1,3.337943,2.552785
