,base,snap,calc,SCF,ex_en,osc
210,/home/share/wesolowski/NR_CGE_HUJI,460,iso1,-985.1400415,3.279228,2.377932
211,/home/share/wesolowski/NR_CGE_HUJI,461,iso1,-985.12409994,2.977366,2.378675
212,/home/share/wesolowski/NR_CGE_HUJI,462,iso1,-985.14766314,3.023907,2.451114
213,/home/share/wesolowski/NR_CGE_HUJI,463,iso1,-985.12461449,3.112963,2.323394
214,/home/share/wesolowski/NR_CGE_HUJI,464,iso1,-985.12832377,3.102951,2.483033
215,/home/share/wesolowski/NR_CGE_HUJI,465,iso1,-985.14241072,3.044555,2.397698
216,/home/share/wesolowski/NR_CGE_HUJI,466,iso1,-985.14103069,2.97794,2.466012
217,/home/share/wesolowski/NR_CGE_HUJI,467,iso1,-985.15295898,2.949861,2.462197
218,/home/share/wesolowski/NR_CGE_HUJI,468,iso1,-985.13986599,3.000088,2.476764
219,/home/share/wesolowski/NR_CGE_HUJI,469,iso1,-985.12733352,3.0909,2.425074
220,/home/share/wesolowski/NR_CGE_HUJI,470,iso1,-985.1342119,2.983417,2.462436
221,/home/share/wesolowski/NR_CGE_HUJI,471,iso1,-985.15140886,2.94213,2.567561
222,/home/share/wesolowski/NR_CGE_HUJI,472,iso1,-985.14376366,3.016142,2.504884
223,/home/share/wesolowski/NR_CGE_HUJI,473,iso1,-985.12827017,2.868098,2.497459
224,/home/share/wesolowski/NR_CGE_HUJI,474,iso1,-985.14581391,2.962475,2.463804
225,/home/share/wesolowski/NR_CGE_HUJI,475,iso1,-985.12267913,3.016303,2.325972
226,/home/share/wesolowski/NR_CGE_HUJI,476,iso1,-985.13332498,3.100958,2.435249
227,/home/share/wesolowski/NR_CGE_HUJI,477,iso1,-985.14822454,2.962262,2.414289
228,/home/share/wesolowski/NR_CGE_HUJI,478,iso1,-985.14338088,3.152009,2.373884
229,/home/share/wesolowski/NR_CGE_HUJI,479,iso1,-985.15061677,3.121242,2.407777
230,/home/share/wesolowski/NR_CGE_HUJI,480,iso1,-985.1331406,3.122302,2.391025
231,/home/share/wesolowski/NR_CGE_HUJI,481,iso1,-985.12340636,2.998042,2.464225
232,/home/share/wesolowski/NR_CGE_HUJI,482,iso1,-985.13838283,2.969668,2.48336
